0, 3757, 1339, 5980, 356, 6, 4658
1, 1235, 1411, 5447, 427, 17, 2129
2, 1426, 1565, 5123, 182, 18, 4844
3, 802, 1463, 4001, 109, 4, 3473
4, 2059, 1290, 2237, 223, 19, 1145
5, 1150, 1795, 5342, 135, 18, 1530
6, 1325, 1773, 5878, 381, 6, 2671
7, 2961, 1666, 5950, 208, 18, 2147
8, 3720, 1438, 3634, 443, 12, 4088
9, 2919, 1724, 2495, 226, 8, 1024
10, 2184, 843, 4409, 383, 8, 2304
11, 829, 945, 4899, 423, 2, 2375
12, 1076, 864, 5521, 269, 3, 4711
13, 1774, 1370, 4740, 348, 7, 4917
14, 1341, 1969, 4360, 342, 8, 4374
15, 2467, 1189, 2386, 149, 14, 3402
16, 2534, 1641, 3912, 473, 2, 1306
17, 1048, 1624, 4982, 273, 4, 2536
18, 1584, 1189, 4196, 329, 5, 3956
19, 1551, 1370, 3894, 227, 3, 4130
