0, 1200, 1000, 2800, 200, 2, 1500
1, 1500, 1000, 2800, 200, 3, 1750
2, 1800, 1000, 2800, 200, 4, 2000
3, 2100, 1000, 2800, 200, 5, 2250
4, 2400, 1000, 2800, 200, 6, 2500
5, 2700, 1000, 2800, 200, 7, 2750
6, 3000, 1000, 2800, 200, 8, 3000
7, 3300, 1000, 2800, 200, 9, 3250
8, 3600, 1000, 2800, 200, 10, 3500
9, 3900, 1000, 2800, 200, 11, 3750
10, 4200, 1000, 2800, 200, 12, 4000
11, 4500, 1000, 2800, 200, 13, 4250
12, 4800, 1000, 2800, 200, 14, 4500
13, 5100, 1000, 2800, 200, 15, 4750
14, 5400, 1000, 2800, 200, 16, 5000
